"claim","quote"
"P2P.org stated that its partnership with Copper directly responds to institutional demands for high usability and security standards in staking infrastructure.","The firm added that, together with Copper, they 'are meeting that challenge head-on."
"Sentora CTO Jesús Rodríguez highlighted his focus on combining financial market expertise with DeFi technology to instill confidence among institutional investors","""The vision is to build all the core primitives that are needed for any institution whether it's a crypto institution, DAO foundation, traditional finance investor or individual family office, to interact with DeFi in a way that feels intelligent, that feels safe, that feels secure,"" Jesus Rodriguez, co-founder of IntoTheBlock and now CTO of Sentora, said in an interview with CoinDesk."
"The company created by the merger of Gryphon Digital Mining and American Bitcoin Corp. will be led by American Bitcoin’s current board and executive team, including Eric Trump as Chief Strategy Officer.","American Bitcoin will retain its current leadership and board, including CEO Mike Ho"
"The company created by the merger of Gryphon Digital Mining and American Bitcoin Corp. will be led by American Bitcoin’s current board and executive team, including Eric Trump as Chief Strategy Officer.","American Bitcoin’s existing stockholders are expected to own approximately 98% of the combined company, which will be led by American Bitcoin’s board of directors and management team, including Eric Trump as chief strategy officer."
"BIP 177 is a Bitcoin Improvement Proposal introduced by Synonym CEO John Carvalho that seeks to replace the satoshi denomination with a new unit called “bits”.","The proposal was introduced by Synonym CEO John Carvalho last month and is known as BIP 177."
"BIP 177 is a Bitcoin Improvement Proposal introduced by Synonym CEO John Carvalho that seeks to replace the satoshi denomination with a new unit called “bits”.","BTC developer John Carvalho introduced Bitcoin Improvement Proposal 177 (BIP-177) on April 23. The proposal suggests removing satoshis, which are currently the smallest unit of Bitcoin, and replacing them with a simplified denomination known as bits."
"MEME Solution empowers individuals and businesses to launch and grow meme coin projects without requiring technical expertise","The memecoin solution by BNB Chain allows individuals and businesses to easily launch and grow their memecoin projects"
"MEME Solution empowers individuals and businesses to launch and grow meme coin projects without requiring technical expertise","intuitive tools and educational materials allow users to quickly and easily deploy tokens on BNB Chain"
"Brian Quintenz, according to financial disclosures submitted on May 25, 2025 has $3.4 million in assets, including investments in multiple Andreessen Horowitz crypto funds","Quintenz’s nomination has already drawn attention due to financial disclosures submitted on May 25. The filings reveal he holds $3.4 million in assets, including investments in multiple Andreessen Horowitz crypto funds — CNK Fund III, CNK Seed 1 Fund, and CNK IV Fund — as well as stock options in Kalshi, a prediction market platform where he serves on the board."
"Brian Quintenz, according to financial disclosures submitted on May 25, 2025 has $3.4 million in assets, including investments in multiple Andreessen Horowitz crypto funds","Meanwhile, Quintenz recently disclosed holding $3.4 million in assets, including positions in crypto-linked companies such as prediction markets platform Kalshi, which had been in a long legal battle with the CFTC."
"World Network has faced significant legal challenges worldwide, including being halted by the Kenyan government in 2023 for violating the Data Protection Act and encountering legal issues in France, Portugal, Spain, South Korea, Hong Kong and Brazil","The Kenyan government was the first to halt operations in 2023 for violating the Data Protection Act, citing issues with informed consent and transparent data usage"
"World Network has faced significant legal challenges worldwide, including being halted by the Kenyan government in 2023 for violating the Data Protection Act and encountering legal issues in France, Portugal, Spain, South Korea, Hong Kong and Brazil","World Network has also faced legal challenges in France, Portugal, Spain, Hong Kong, Brazil, and South Korea"
"World Network has faced significant legal challenges worldwide, including being halted by the Kenyan government in 2023 for violating the Data Protection Act and encountering legal issues in France, Portugal, Spain, South Korea, Hong Kong and Brazil","World Network has faced challenges regarding privacy concerns and its collection of biometric data"
"BNB Chain launched the Good Will Alliance to unite infrastructure builders, validators, and community members to establish ethical standards, implement best practices, and enhance security within the BNB ecosystem","The BNB Chain has introduced the BNB Good Will Alliance which unites core members of the BNB community to implement initiatives that serve the interests of the BNB ecosystem. The alliance’s first effort is a push to reduce malicious MEV [maximum extractable value] like sandwich attacks on the chain."
"BNB Chain launched the Good Will Alliance to unite infrastructure builders, validators, and community members to establish ethical standards, implement best practices, and enhance security within the BNB ecosystem","The initiative aims to unite infrastructure builders, validators, and the broader community to establish ethical standards, best practices, and enhanced security within the BNB ecosystem."
"Democratic lawmakers are attempting to end Puerto Rico's use as a tax shelter for cryptocurrency capital gains through the Fair Taxation of Digital Assets in Puerto Rico Act","Democratic lawmakers on Monday introduced a bill to block investors from using Puerto Rico as a cryptocurrency tax haven — a proposal unlikely to advance without Republican support and as Congress prioritizes extending the 2017 tax cuts."
"Democratic lawmakers are attempting to end Puerto Rico's use as a tax shelter for cryptocurrency capital gains through the Fair Taxation of Digital Assets in Puerto Rico Act","The legislation proposed by New York Representative Nydia Velázquez came after the Puerto Rico Governor floated a 4% capital gains tax for new applicants."
"Ethereum Foundation announced a $500,000 donation to support the legal defense of Tornado Cash developer Roman Storm","The Ethereum Foundation on June 12 donated $500,000 to Tornado Cash developer Roman Storm’s legal defense. It said it will match another $750,000 from public contributors as the US money laundering case approaches trial."
"Ethereum Foundation announced a $500,000 donation to support the legal defense of Tornado Cash developer Roman Storm","The Ethereum   ETH +3.81%  Foundation announced a $500,000 donation to support Tornado Cash co-founder Roman Storm's defense as his trial quickly approaches."
"The People's Bank of China (PBOC) warned the public against scams involving fake promotions and phishing","Fraudsters have used false claims to lure victims into scams involving fake promotions, phishing, and unauthorized ""conversions."""
"Ethena Labs and Securitize launched Converge blockchain","Ethena Labs, the tokenization firm behind the synthetic dollar USDe and USDtb stablecoin backed by BlackRock’s BUIDL fund, plans to move its $6 billion DeFi ecosystem to Converge, a new Ethereum-compatible blockchain it built in partnership with Securitize"
"Ethena Labs and Securitize launched Converge blockchain","Securitize and Ethena Labs, two firms working closely with BlackRock’s money market token BUIDL, have created an Ethereum-compatible blockchain called Converge, designed to house tokenized assets and provide institutional investors with the innovation of decentralized finance (DeFi)"
"Ethena Labs and Securitize launched Converge blockchain","Converge, expected to launch in the second quarter, is an Ethereum-compatible blockchain featuring native KYC and custody solutions"
"Blockchain technology was used to create an immutable, tamper-proof record of the Williamson County GOP Convention leadership election, countering vulnerabilities in traditional voting systems","Sufficiently decentralized blockchain networks can help preserve sensitive data in a tamper-proof way and ensure election integrity."
"Blockchain technology was used to create an immutable, tamper-proof record of the Williamson County GOP Convention leadership election, countering vulnerabilities in traditional voting systems","According to Simple Proof, the software platform used to record the election results to the immutable blockchain ledger, the data was successfully stored on block number 886,370 at 11:15:30 UTC."
"Blockchain technology was used to create an immutable, tamper-proof record of the Williamson County GOP Convention leadership election, countering vulnerabilities in traditional voting systems","This technology has proven to be excellent for preserving election records, as it helps to prevent tampering with election results once a vote count is finalized."
"Tim Beiko noted that Ethereum’s governance process faced significant challenges during the handling of the EOF (Ethereum Object Format) proposal for the Fusaka upgrade","Different variants of EOF have been proposed, included, and subsequently removed from network upgrades over the years (see Shanghai, Dencun), often reflecting shifting consensus about its urgency relative to other core features."
"Ledger, the French hardware wallet provider, launched Recovery Key, a new offline physical tool that lets users restore access to their wallets without relying on cloud storage or personal data","Ledger, a French crypto wallet provider, is launching a new recovery tool for owners of its fleet of hardware wallets, the company said Tuesday"
"Ledger, the French hardware wallet provider, launched Recovery Key, a new offline physical tool that lets users restore access to their wallets without relying on cloud storage or personal data","Ledger unveiled Recovery Key on Tuesday — a new physical ""spare key"" enabling users to quickly recover their crypto wallets"
"Ledger, the French hardware wallet provider, launched Recovery Key, a new offline physical tool that lets users restore access to their wallets without relying on cloud storage or personal data","Ledger, a major provider of hardware cryptocurrency wallets, has introduced an offline tool for private key recovery to help users regain access to their crypto wallets without relying on cloud-based services or personal data"
"The election data for the Williamson County GOP Convention leadership race was recorded on Bitcoin block number 886,370 at exactly 11:15:30 UTC","According to Simple Proof, the software platform used to record the election results to the immutable blockchain ledger, the data was successfully stored on block number 886,370 at 11:15:30 UTC."
"The election data for the Williamson County GOP Convention leadership race was recorded on Bitcoin block number 886,370 at exactly 11:15:30 UTC","The final results of the vote were committed in (added to) Bitcoin block 886,370 using Simple Proof’s Immutable Proof service, an automated service that employs the OpenTimestamps protocol to help protect public records."
"EigenLayer redesigned its slashing mechanism to adress systemic risks","EigenLayer’s slashing system was redesigned last year to address fears that the protocol introduced an unsafe form of leverage to the Ethereum ecosystem."
"EigenLayer redesigned its slashing mechanism to adress systemic risks","The new version of the protocol has been tested on devnets since December. Its deployment marks a technical advance aimed at strengthening Ethereum’s ecosystem security without compromising validator efficiency or user incentives."
"EigenLayer redesigned its slashing mechanism to adress systemic risks","A redesigned slashing system redesign aims to reduce systemic risks previously associated with EigenLayer’s pooled staking model."
"Jonathan Gould, alongside Paul Atkins, who was approved to lead the SEC, was confirmed to head the Office of the Comptroller of the Currency (OCC), with both advancing on identical 13-11 party-line votes during the Senate Banking Committee hearing","The nominations of Paul Atkins to permanently take over the SEC from former Chair Gary Gensler and of Jonathan Gould to lead the banking regulator OCC now move to consideration by the overall Senate. Approvals there will allow Atkins and Gould to start work at the regulatory agencies."
"Jonathan Gould, alongside Paul Atkins, who was approved to lead the SEC, was confirmed to head the Office of the Comptroller of the Currency (OCC), with both advancing on identical 13-11 party-line votes during the Senate Banking Committee hearing","Atkins and Gould both advanced under party-line votes in the committee on Thursday — each going 13-11."
"Chainlink’s CCIP enables over $19 billion worth of tokenized assets to flow into Solana through its Cross‑Chain Token (CCT) standard","The upgrade allows projects such as Maple Finance, Shiba Inu, and Backed Finance to expand tokenized assets into Solana’s ecosystem using Chainlink’s Cross-Chain Token (CCT) standard. Collectively, these tokens represent over $19 billion in market value. CCIP’s v1.6 update also reduces transaction costs and streamlines architecture for scaling across hundreds of blockchains."
"Chainlink’s CCIP enables over $19 billion worth of tokenized assets to flow into Solana through its Cross‑Chain Token (CCT) standard","Some of the biggest names in the space are already jumping in. Projects like Solv, Backed Finance, Shiba Inu, and Maple Finance are extending their CCIP-enabled tokens into Solana using Chainlink’s Cross-Chain Token (CCT) Standard. They’ll be joined by new names like ElizaOS, The Graph, Zeus Network, and even Pepe — together, these CCT tokens represent a combined market cap of over $19 billion."
"Hong Kong's Legislative Council has passed the Stablecoins Bill establishing a licensing regime under the Hong Kong Monetary Authority for fiat-referenced stablecoin issuers to support the city’s ambition to become a global Web3 hub","Hong Kong's Legislative Council passed the long-anticipated stablecoin bill today, establishing a licensing regime for stablecoin issuers.  In a council meeting Wednesday, lawmakers passed the ""Stablecoins Bill"" in its third reading, which mandates licensing from the Hong Kong Monetary Authority for issuers of fiat-referenced stablecoins."
"Hong Kong's Legislative Council has passed the Stablecoins Bill establishing a licensing regime under the Hong Kong Monetary Authority for fiat-referenced stablecoin issuers to support the city’s ambition to become a global Web3 hub","Hong Kong’s Legislative Council has approved the Stablecoins Bill, enabling institutions to apply for issuance licenses through the Hong Kong Monetary Authority (HKMA) by year-end."
"Hong Kong's Legislative Council has passed the Stablecoins Bill establishing a licensing regime under the Hong Kong Monetary Authority for fiat-referenced stablecoin issuers to support the city’s ambition to become a global Web3 hub","In a major step towards becoming the global Web3 hub, the Hong Kong Legislative Council passed the “Stablecoins Bill” in its third reading"
"Hong Kong's Legislative Council has passed the Stablecoins Bill establishing a licensing regime under the Hong Kong Monetary Authority for fiat-referenced stablecoin issuers to support the city’s ambition to become a global Web3 hub","Hong Kong's Legislative Council has passed the Stablecoin Bill, paving the way for licensed fiat-backed stablecoin issuers by year-end and positioning the region as a potential global Web3 hub."
"RedStone is a blockchain oracle that provides secure price feeds across multiple blockchain networks.","RedStone provides cross-chain data feeds for decentralized finance protocols on Ethereum, Avalanche, and Polygon."
"RedStone is a blockchain oracle that provides secure price feeds across multiple blockchain networks.","RedStone was designed with modular architecture that is omnichain by default, as opposed to the monolithic approach of first-generation oracles."
"GENIUS Act, after invoking its second cloture with strong bipartisan support on June 11, 2025, moved to a final Senate floor vote, ending debate and setting the stage for its formal passage with a simple majority, latest by June 16, 2025","Invoking cloture on GENIUS sets it up for final passage on Monday unless Republican and Democratic leadership reach a time agreement that shortens debate on the bill"
"GENIUS Act, after invoking its second cloture with strong bipartisan support on June 11, 2025, moved to a final Senate floor vote, ending debate and setting the stage for its formal passage with a simple majority, latest by June 16, 2025","A majority of senators, including several Democrats, voted to invoke cloture for the bill, setting it up for debate and a full floor vote before potentially sending it to the House of Representatives for further consideration."
"GENIUS Act, after invoking its second cloture with strong bipartisan support on June 11, 2025, moved to a final Senate floor vote, ending debate and setting the stage for its formal passage with a simple majority, latest by June 16, 2025","the cloture vote for these GENIUS Act amendments passed, setting it up for a major success. It means any debate on a bill has now ended, and the Senate can now move forward to the final vote."
"GENIUS Act, after invoking its second cloture with strong bipartisan support on June 11, 2025, moved to a final Senate floor vote, ending debate and setting the stage for its formal passage with a simple majority, latest by June 16, 2025","The Senate voted 68-30 on June 11 to invoke cloture on the Guiding and Establishing National Innovation for US Stablecoins (GENIUS) Act, ending the filibuster option and moving the bill toward a final floor vote that will require a simple majority."
"Ian Rogers, CXO of Ledger, emphasized that Ledger Recovery Key helps users avoid the risks of storing assets on exchanges or insecure software wallets by offering a secure and accessible self-custody recovery solution","Ledger not only brings the best in security but the best and fullest set of choices around recovery,"" Ledger Chief Experience Officer Ian Rogers said"
"Ian Rogers, CXO of Ledger, emphasized that Ledger Recovery Key helps users avoid the risks of storing assets on exchanges or insecure software wallets by offering a secure and accessible self-custody recovery solution","With Ledger Recovery Key we are making secure self-custody easy-to-use for everyone. Too many people are compromising by keeping their assets on exchanges and insecure software wallets. With Ledger Recover and now Ledger Recovery Key, as well as the traditional 24-words, we are proud to offer a recovery solution for every category of user."
"Sony Block Solutions Labs and LINE announced a partnership to integrate LINE mini-apps into the Soneium ecosystem.","Sony’s public blockchain platform Soneium has collaborated with messaging giant LINE to integrate LINE's mini-apps into the Soneium ecosystem, planning to start by bringing four mini-games on-chain in the coming months."
"Sony Block Solutions Labs and LINE announced a partnership to integrate LINE mini-apps into the Soneium ecosystem.","Sony’s blockchain division is bringing Japanese social media giant LINE into the web3 world, with plans to adapt several popular mini-apps onto Sony’s Soneium network, the company announced Wednesday."
"Supporters of the House Bill 7082 see the bill as a cautious approach designed to protect public funds from crypto volatility and fraud risks","Connecticut’s move to ban state investments in Bitcoin and all virtual currencies is about risk aversion and strict consumer protection—lawmakers want no exposure to BTC’s volatility or potential for fraud in public funds. Strong bipartisan consensus drove HB7082, imposing tough rules on local crypto businesses, with 1:1 reserves, mandatory licenses, and extra safeguards for minors and seniors."
"Sui’s emergency freeze echoed established practices in traditional finance, where transactional holds are both standard and mandatory in response to fraud events","Governments and regulatory bodies across the world have imposed a slew of rules to fight financial crime. The European Union has adopted stricter AML rules under its Markets in Crypto-Assets (MiCA) framework. One notable rule requires crypto providers to collect and verify identity information for even unhosted wallets.  The FATF Travel Rule mandates financial institutions and crypto exchanges to share sender and receiver information for transactions above a certain threshold. Non-compliance often leads to freezes. "
"Sui’s emergency freeze echoed established practices in traditional finance, where transactional holds are both standard and mandatory in response to fraud events","Banks and crypto exchanges freeze accounts and blacklist wallets as part of Anti-Money Laundering (AML), counter-terrorism financing (CTF) and sanctions compliance efforts."
"Hayden Adams, CEO of Uniswap, expressed criticism of the advisory group’s approach, while Vitalik Buterin clarified its experimental nature and practical scope","They have already given advice on timely and critical topics such as wallet security"
"Hayden Adams, CEO of Uniswap, expressed criticism of the advisory group’s approach, while Vitalik Buterin clarified its experimental nature and practical scope","Honest, direct feedback: flowery language and a counsel of random people on twitter is not what people have been asking for"
"Hayden Adams, CEO of Uniswap, expressed criticism of the advisory group’s approach, while Vitalik Buterin clarified its experimental nature and practical scope","It is an experimental effort to create more channels for builders and other community voices to influence the EF, and in this case the scope is core cypherpunk and regen values"
"Eugenio Reggianini, in a proposal aimed at GDPR compliance, by implementing role separation, ensures that block builders and sequencers never access transaction contents directly","Proposer-Builder Separation (PBS) & Attester-Proposer Separation (APS): Protocol-enforced splits concentrate data-viewing power in block builders, while proposers and attesters handle only commitments or proofs."
"Eugenio Reggianini, in a proposal aimed at GDPR compliance, by implementing role separation, ensures that block builders and sequencers never access transaction contents directly","Other PET integrations that could help with GDPR compliance include Fully Homomorphic Encryption and Trusted Execution Environments (TEEs), multiparty computation (MPC), Proposer-Builder Separation (PBS) and Peer Data Availability Sampling (PeerDAS)."
"Delivery versus payment (DvP) is a financial mechanism designed to ensure assets are delivered only after or simultaneously with payment, minimizing settlement risk","DvP transactions are a traditional finance (TradFi) method of payment, designed to ensure that payment is made either before or simultaneously with the delivery of an asset."
"Kraken and Backed selected Solana as the initial blockchain for xStocks based on its unmatched performance, low latency and thriving global developer ecosystem","According to Kraken, the exchange and Backed chose Solana as the first chain for xStocks because of its ""unmatched performance, low latency and thriving global ecosystem."""
"Kraken and Backed selected Solana as the initial blockchain for xStocks based on its unmatched performance, low latency and thriving global developer ecosystem","Kraken said that stocks will be represented on Solana using SPL tokens, a token standard mirroring ERC-20 tokens on Ethereum."
"Dario Lo Buglio is both the co-founder of Brickken and a senior security researcher at OpenZeppelin","Brickken announced that its co-founder and OpenZeppelin senior security researcher, Dario Lo Buglio, has formally introduced a new token standard designed to address the evolving needs of the tokenized asset ecosystem."
"Dario Lo Buglio is both the co-founder of Brickken and a senior security researcher at OpenZeppelin","Created by our co-founder Dario Lo Buglio, who also serves as a senior security researcher at OpenZeppelin, uRWA aims to address the industry-wide challenge of securely and compliantly tokenizing real-world assets (RWAs)"
"eToro raised approximately $310 million in its IPO by selling 6 million shares at $52 each.","The company raised about $310 million from investors as it sold 6 million shares at a price of $52 a piece."
"eToro raised approximately $310 million in its IPO by selling 6 million shares at $52 each.","The IPO is anticipated to raise approximately $310 million in capital for the company"
"Rachel Reeves, UK Chancellor has outlined plans for UK to become a leader in crypto sector and create crypto regulatory framework","In April, UK chancellor Rachel Reeves set out plans to regulate cryptoassets more formally and forge closer co-operation with the US on digital securities."
"Rachel Reeves, UK Chancellor has outlined plans for UK to become a leader in crypto sector and create crypto regulatory framework","The ongoing efforts also follow a recent revelation by UK Chancellor of the Exchequer Rachel Reeves of plans for a “comprehensive regulatory regime” aimed at making the country a leader in the crypto sector."
"Tim Beiko pointed out that EOF Option A had unexpectedly severe negative consequences on developer experience","Shortly before ACDE#210, some core developers realized that their preferred EOF Option (Option A) had unexpectedly significant negative developer experience consequences. While these had been flagged before, their magnitude hadn’t been fully appreciated. Client teams agreed to urgently review these implications and resolve them by the next Testing/Interop #34 call."
"The Digital Asset Market Structure Discussion Draft lowers the affiliated ownership disclosure threshold from 5% to 1%, increasing transparency and oversight of individuals holding significant stakes in digital commodities.","One of the major changes from FIT21 is that the draft defines an affiliated person as anyone who owns more than 1% of a digital commodity issued by the project — down from 5% in the FIT21 bill."
"The Digital Asset Market Structure Discussion Draft lowers the affiliated ownership disclosure threshold from 5% to 1%, increasing transparency and oversight of individuals holding significant stakes in digital commodities.","The latest crypto markets draft bill could democratize crypto participation due to a rule that would require crypto project members to disclose crypto token holdings above 1% of total supply."
"Protocols evaluated under Defipunk are assessed against clear criteria such as permissionless access, self-custody and open-source licensing, alongside more complex standards. The framework is shared to guide EF’s future on-chain deployments and build alignment.","We share the framework openly to provide legibility for EF decisions and build alignment on these axes, and so that the wider community can consider, adapt, or apply them when forming its own views."
"Protocols evaluated under Defipunk are assessed against clear criteria such as permissionless access, self-custody and open-source licensing, alongside more complex standards. The framework is shared to guide EF’s future on-chain deployments and build alignment.","These are concrete criteria for internal evaluation of protocols and UIs, intended to encourage new projects to start, and existing projects to improve. They will apply to all of EF’s future onchain deployments."
"Protocols evaluated under Defipunk are assessed against clear criteria such as permissionless access, self-custody and open-source licensing, alongside more complex standards. The framework is shared to guide EF’s future on-chain deployments and build alignment.","While some criteria (e.g., permissionless access, self-custody, and FLOSS) are straightforward binary determinants for deployment, others are more complex."
"Proposer-Builder Separation (PBS) is a mitigation framework that splits block construction from block proposing to reduce MEV concentration and promote more equitable transaction inclusion.","Technological innovations like proposer-builder separation reduce the centralization of power among these actors."
"Proposer-Builder Separation (PBS) is a mitigation framework that splits block construction from block proposing to reduce MEV concentration and promote more equitable transaction inclusion.","By separating the roles of transaction proposers and block builders, PBS helps maintain a level playing field."
"Story Protocol will allocate 58.4% of its 1 billion total IP tokens to community-related distributions, including 38.4% for the ecosystem, 10% for the foundation, and 10% for initial incentives","Of an initial supply of 1 billion IP tokens, 58.4% will be ""allocated to the community across initial incentives, ecosystem, and foundation, ensuring broad participation and decentralized ownership,"" the statement said. Story Protocol added that 21.6% of tokens will be allocated to ""early backers"" and 20% to core contributors.  The initial unlocked supply is set at 25%."
"Story Protocol will allocate 58.4% of its 1 billion total IP tokens to community-related distributions, including 38.4% for the ecosystem, 10% for the foundation, and 10% for initial incentives","The ecosystem and community will get 38.4% of the tokens, the foundation will get 10%, and initial incentives will take another 10%.  Beyond that, early backers will receive 21.6% and core contributors 20%. These stakeholders will not receive any tokens for 12 months, with an unlock schedule stretching four years.  The initial distribution to the ecosystem, foundation and initial incentives will account for 25% of the IP supply."
"Trump portrayed Bitcoin adoption as part of a broader effort to maintain global leadership in financial technology","People are saying it takes a lot of pressure off the dollar, and it’s a great thing for our country."
"Trump portrayed Bitcoin adoption as part of a broader effort to maintain global leadership in financial technology","President Donald Trump said Bitcoin (BTC) transactions “take a lot of pressure off the dollar” and argued that US leadership in digital assets blocks China from dominating the sector."
"Trump portrayed Bitcoin adoption as part of a broader effort to maintain global leadership in financial technology","Trump believes increased Bitcoin adoption may ease pressure on the US dollar and support American innovation."
"Block released open-source Bitcoin treasury management tools on GitHub, including a corporate holdings dashboard and BTC-to-USD real-time price quote API designed to provide essential visibility for finance teams","Today, Block Open Source released a bitcoin corporate holdings dashboard along with a BTC-to-USD real time price quote API. The project is available on the Block Open Source public GitHub repository, enabling companies and developers to build their own features and track their bitcoin corporate holdings."
"Block released open-source Bitcoin treasury management tools on GitHub, including a corporate holdings dashboard and BTC-to-USD real-time price quote API designed to provide essential visibility for finance teams","Block announced it has released a new open source toolkit designed to help companies manage their Bitcoin treasury holdings more efficiently. The release includes a corporate Bitcoin holdings dashboard and a BTC-to-USD real-time price quote API, now available for all companies and developers via Block’s public GitHub repository under the Block Open Source initiative."
"The next-generation oracle developed by EigenLayer, Polymarket, and UMA will focus on intersubjective truth verification through decentralized dispute resolution, unlike existing oracle networks like Chainlink and Pyth, which aggregate external data from multiple sources.","Unlike traditional decentralized oracle networks like Chainlink and Pyth, which aggregate off-chain data from multiple sources, this new oracle system focuses on community consensus and dispute resolution, making it well-suited for prediction markets."
"Wintermute warned that although Ethereum’s EIP-7702 expands functionality, the lack of contract verification mechanisms makes it difficult for users to identify malicious delegations.","Wintermute said that while EIP-7702 expands Ethereum’s capabilities, a lack of verification makes it more difficult to distinguish legitimate infrastructure from malicious exploitation, particularly for new users."
"Bitget neither confirmed nor denied whether a market-making bot was responsible for the April 20, 2025 VOXEL-USDT trading anomaly","In an April 20 response to Cointelegraph, Bitget CEO Gracy Chen said that suspicious trades were between individual market participants, not the platform. Replying to Cointelegraph’s follow-up inquiry on April 21, Chen neither confirmed nor denied whether a market maker bot was involved, only reiterating that the trading was “between users.”"
"Central African Republic recognized Bitcoin as a legal tender in 2022","In 2021, El Salvador became the first country in the world to recognize Bitcoin as legal tender, with the Central African Republic following less than a year later. Meanwhile, Fiji and Tonga have explored recognizing the token as an official currency.   In Switzerland, officials have also greenlit Bitcoin payments for some public services in a few of the country's regions."
"Paolo Ardoino, believes BrainOS could give traders a competitive edge by enhancing data processing speeds and analytical capabilities, potentially reshaping cryptocurrency market strategies","Tether's Brain OS initiative focuses on enhancing human cognitive abilities through brain-computer interfaces, which could impact decision-making in  cryptocurrency trading"
"Paolo Ardoino, believes BrainOS could give traders a competitive edge by enhancing data processing speeds and analytical capabilities, potentially reshaping cryptocurrency market strategies","This development is critical for traders as it could redefine strategies and competitive advantages in the market"
"The EU MiCA license allows Coinbase to offer digital asset services across all 27 EU member states plus Iceland, Liechtenstein and Norway.","The license, issued under the EU’s Markets in Crypto Assets (MiCA) regulation, allows Coinbase to offer its digital asset services across all 27 EU member states."
"The EU MiCA license allows Coinbase to offer digital asset services across all 27 EU member states plus Iceland, Liechtenstein and Norway.","MiCA is a sweeping regulation that aims to create a harmonized legal framework for crypto across all 27 EU member states."
"The EU MiCA license allows Coinbase to offer digital asset services across all 27 EU member states plus Iceland, Liechtenstein and Norway.","Though the EU MiCA license grants companies access to all the nations in the European Union plus Iceland, Liechtenstein and Norway, countries in the bloc have still been vying to attract major crypto companies."
"The Coinbase One Card will be available exclusively to Coinbase One subscribers, who pay a monthly fee for benefits such as zero transaction fees, priority support and increased staking rewards","The new card will be available to Coinbase One subscribers, who pay a monthly fee in exchange for zero transaction fees, priority support, and increased staking rewards, among other perks."
"SoFi Chief Executive Officer Anthony Noto had outlined SoFi Technologies’ intention to re-enter the crypto market during its January 2025 earnings call and confirmed this plan publicly in April 2025","However, in April 2025, SoFi CEO Anthony Noto confirmed that the company was looking to re-enter the crypto market."
"SoFi Chief Executive Officer Anthony Noto had outlined SoFi Technologies’ intention to re-enter the crypto market during its January 2025 earnings call and confirmed this plan publicly in April 2025","The firm’s intentions to re-enter the crypto market shouldn’t come as a surprise, as the move was outlined by Noto during a January earnings call."
"President Donald Trump addressed the Blockworks Digital Asset Summit in a pre-recorded statement","Blockworks founder Jason Yanowitz noted that Trump's appearance marked the first time a sitting president has spoken to a crypto conference"
"President Donald Trump addressed the Blockworks Digital Asset Summit in a pre-recorded statement","Trump’s comments to the Blockworks Digital Asset Summit are the first time a sitting US president has addressed a crypto conference"
"UAE-based Aqua 1 Foundation became the largest individual investor in World Liberty Financial by purchasing $100 million worth of its tokens, surpassing previous high-profile backers like Justin Sun, an advisor at World Liberty.","On Thursday, United Arab Emirates based Aqua 1 Foundation said it bought $100 million of World Liberty tokens, the second Middle East-based investor to put money into the platform. The investment will make the little known crypto fund the largest individual investor of the Trump-backed digital asset project, surpassing crypto entrepreneur Justin Sun, who’s also an adviser to World Liberty."
"UAE-based Aqua 1 Foundation became the largest individual investor in World Liberty Financial by purchasing $100 million worth of its tokens, surpassing previous high-profile backers like Justin Sun, an advisor at World Liberty.","Additional momentum comes from Middle East-based investors like the UAE’s Aqua 1 Foundation, which recently acquired $100 million worth of World Liberty tokens, becoming the platform’s largest individual investor."
"Acting SEC Chair Mark Uyeda said the commission may still classify more crypto assets as securities, despite previous staff statements excluding memecoins and mining","Mark Uyeda, the agency's acting chairman, told reporters that despite recent SEC policy statements that certain areas of the crypto sector aren't subject to securities laws — memecoins and mining, so far — it's a ""definitely possibility"" that others will be defined as securities.  ""We're moving on multiple tracks here,"" he said in answer to a question from CoinDesk. Each statement issued so far ""ultimately is a staff statement"" that doesn't have legal backing, but he said the roundtable represents the entire commission — currently three members — looking at what a ""potential commission interpretation might look like.""  In his opening remarks at the event, Uyeda, who was appointed by President Donald Trump as the SEC awaits a Senate confirmation of Paul Atkins, argued that the agency should have been more willing in recent years to make such interpretations public."
